13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13070024;Deutsche Bank Privat und Geschäftskunden;63
13080000;Commerzbank vormals Dresdner Bank;76
13090000;Rostocker Volks- und Raiffeisenbank;32
13090000;Rostocker Volks- und Raiffeisenbank (Gf P2);32
13091054;Pommersche Volksbank;32
13091054;Pommersche Volksbank (Gf P2);32
13091084;Volksbank Wismar -alt-;6
14000000;Bundesbank eh Schwerin;9
14040000;Commerzbank;13
14040000;Commerzbank;13
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051000;Sparkasse Mecklenburg-Nordwest;20
14051362;Sparkasse Parchim-Lübz;20
14051362;Sparkasse Parchim-Lübz;20
14051462;Sparkasse Schwerin -alt-;C0
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14052000;Sparkasse Mecklenburg-Schwerin;20
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank;32
14061308;Volks- und Raiffeisenbank (Gf P2);32
14061438;Raiffeisen-Volksbank -alt-;32
14080000;Commerzbank vormals Dresdner Bank;76
14080000;Commerzbank vormals Dresdner Bank;76
14080000;Commerzbank vormals Dresdner Bank;76
14080011;Commerzbank vormals Dresdner Bank Zw W;76
14091464;VR-Bank;32
14091464;VR-Bank;32
14091464;VR-Bank (Gf P2);32
14091464;VR-Bank Schwerin;32
15000000;Bundesbank;9
15040068;Commerzbank;13
15040068;Commerzbank;13
15040068;Commerzbank;13
15040068;Commerzbank;13
15040068;Commerzbank;13
15040068;Commerzbank;13
15050100;Müritz-Sparkasse;20
15050100;Müritz-Sparkasse Fil;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050200;Sparkasse Neubrandenburg-Demmin;20
15050400;Sparkasse Uecker-Randow;20
15050400;Sparkasse Uecker-Randow;20
15050400;Sparkasse Uecker-Randow Gs;20
15050400;Sparkasse Uecker-Randow Gs;20
15050400;Sparkasse Uecker-Randow Gs;20
15050400;Sparkasse Uecker-Randow Gs;20
15050400;Sparkasse Uecker-Randow Gs;20
15050400;Sparkasse Uecker-Randow Gs;20
15050400;Sparkasse Uecker-Randow Gs;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
